description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
round,raw,Lamb,100,282,23,10,73,59,69.3,18,0,5.96,0.65,0.21,0.11,0,0,0,0,0,0,0,2.31,0.13,0.02.00,0.2,0.2,3.6,16,0.101,1.55,21,0.019,157,222,18.8,3.41,16.56,0.996,0.984,1.457,0.198,2.402,0.809,0.524,0,0.799,1.288,1.462,0.4250.674,0.694,0.615,0.709,0.193,0.556,0.893,0,0,0,0,0,0,0,0,0,23.41,10.19,9.6,1.85,73,0,0.87,0,0,59.47,,
 meat only,raw,Quail,100,134,4.5,1.3,70,51,0,7,0,8.2,0.787,0.285,0.283,57,17,0,0,0,0,0,0.47,0.53,7.2,0,0,0,13,0.594,4.51,25,0.019,307,237,17.4,2.7,21.76,1.341,1.379,1.814,0.38,2.82,1.442,0.825,0,1.187,1.866,1.905,0.6890.944,0.797,1.062,1.09,0.341,1.01,1.18,0,0,0,0,0,0,0,0,0,4.53,1.32,1.28,1.17,70,0,1.32,0,0,70.03,,
 jalapeno,raw,Peppers,100,29,0.4,0.1,0,3,7.5,27,0,1.28,0.315,0.07,0.04,1078,54,67,561,105,861,0,0,0.419,118.60.00,3.58,3.58,18.5,12,0.046,0.25,15,0.097,26,248,0.4,0.14,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2.8,4.12,2.63,0,1.48,0,0,0,0.37,0.092,0.029,0.112,0,0,0.53,0,0,91.69,,
,raw,Winged bean tuber,100,148,0.9,0.2,0,35,0,19,0,1.64,0.116,0.149,0.379,0,0,0,0,0,0,0,0,0.075,0.00.00,0,0,0,30,1.386,2,24,0.532,45,586,0.7,1.39,11.6,0.397,0.412,1.735,0.197,0.8,0.39,0.241,0,0.425,0.64,0.592,0.1430.451,0.679,0.464,0.451,0.252,0.353,0.599,28.1,0,0,0,0,0,0,0,0,0.9,0.222,0.234,0.174,0,0,2,0,0,57.4,,
 muscadine,raw,Grapes,100,57,0.5,,0,1,0,2,0,0,0,1.5,0,67,3,1,39,1,64,0,0,0,6.5,0,0,0,37,0.119,0.26,14,1.973,24,203,0,0.11,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,3.9,0,3.92,0,3.67,0,0,0.57,0.47,0,0,0,0,0,0.5,0,0,84.29,,
inkgo nuts,raw,Nuts,100,182,1.7,0.3,0,7,0,54,0,6,0.16,0.09,0.22,558,28,0,0,0,0,0,0,0.328,15.00.00,0,0,0,2,0.274,1,27,0.113,124,510,0,0.34,4.32,0.247,0.42,0.543,0.023,0.836,0.232,0.102,0,0.209,0.316,0.206,0.0550.171,0.347,0.29,0.268,0.071,0.061,0.283,37.6,0,0,0,0,0,0,0,0,1.68,0.319,0.619,0.618,0,0,1.2,0,0,55.2,,
 top loin,raw,Ostrich,100,119,3,1.2,75,81,0,8,0,4.691,1.158,0.286,0.195,0,0,0,0,0,0,0,4.94,0.509,0,0.2,0.2,0,6,0.137,3.13,22,0.018,214,312,35.4,3.76,21.67,1.39,1.482,2.027,0.223,3.322,1.448,0.544,0.387,1.03,1.761,1.914,0.6060.894,1.13,0.867,0.951,0.193,0.705,1.07,0,0,0,0,0,0,0,0,0,2.95,1.2,1.06,0.58,75,0,0.73,0,0,75.35,,
 chinese,raw,Broccoli,100,30,0.8,0.1,0,7,26.5,104,0,0.459,0,0.153,0.1,1720,86,0,1032,0,957,0,0,0.074,29.60.00,0.5,0.5,89.1,105,0.064,0.59,19,0,43,274,1.4,0.41,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,2.6,0.88,0,0,0,0,0,0,0.76,0.116,0.053,0.347,0,0,0.83,0,0,92.55,,
,raw,Agave,100,68,0.2,,0,14,0,7,0,0.162,0.041,0.039,0.029,37,2,0,22,0,0,0,0,0.055,4.00.00,0.23,0.23,5.3,417,0.138,1.8,55,0.094,7,127,0.4,0.15,0.52,0.024,0.106,0.041,0.008,0.052,0.019,0.008,0,0.014,0.025,0.028,0.0090.019,0.013,0.021,0.014,0.008,0.009,0.022,16.23,6.6,2.58,0.98,0,1.19,0,0,0.41,0.15,0,0,0,0,0,1.27,0,0,81.83,,
 outside drum,raw,Emu,100,103,0.5,0.1,78,100,0,7,0,7.245,2.5,0.442,0.258,0,0,0,0,0,0,0,6.92,0.676,0,0.17,0.17,0,3,0.199,4.5,29,0.025,225,320,36.3,4.5,23.08,0.897,1.039,2.008,0.167,2.253,0.727,0.505,0.151,0.75,1.274,1.358,0.4380.659,0.935,0.549,0.662,0.153,0.492,0.769,0,0,0,0,0,0,0,0,0,0.48,0.122,0.202,0.07,78,0,1,0,0,74.87,,
 sprouted,raw,Lentils,100,106,0.6,0.1,0,11,0,100,0,1.128,0.578,0.128,0.228,45,2,0,0,0,0,0,0,0.19,16.50.00,0,0,0,25,0.352,3.21,37,0.506,173,322,0.6,1.51,8.96,0.356,0.611,1.433,0.334,1.258,0.319,0.257,0,0.326,0.628,0.712,0.1050.442,0.356,0.495,0.328,0,0.252,0.399,22.14,0,0,0,0,0,0,0,0,0.55,0.057,0.104,0.219,0,0,1,0,0,67.34,,
 sheepshead,raw,Fish,100,108,2.4,0.6,50,71,0,15,0,1.5,0.75,0.04,0.01,100,30,0,0,0,0,0,2,0.3,0,0,0,0,21,0.031,0.46,32,0.013,313,404,36.5,0.39,20.21,1.222,1.21,2.07,0.217,3.017,0.97,0.595,0,0.931,1.643,1.856,0.5980.789,0.715,0.825,0.886,0.226,0.682,1.041,0,0,0,0,0,0,0,0,0,2.41,0.609,0.728,0.518,50,0,1.09,0,0,77.97,,
,raw,Brussels sprouts,100,43,0.3,0.1,0,25,19.1,61,0,0.745,0.309,0.09,0.139,754,38,6,450,0,1590,0,0,0.219,85.00.00,0.88,0.88,177,42,0.07,1.4,23,0.337,69,389,1.6,0.42,3.38,0,0.203,0,0.022,0,0,0.076,0,0.132,0.152,0.154,0.0320.098,0,0,0.12,0.037,0,0.155,8.95,3.8,2.2,0.93,0,0.81,0,0,0.46,0.3,0.062,0.023,0.153,0,0,1.37,0,0,86,,
 witloof,raw,Chicory,100,17,0.1,,0,2,0,37,0,0.16,0.145,0.027,0.062,29,1,0,0,0,0,0,0,0.042,2.80.00,0,0,0,19,0.051,0.24,10,0.1,26,211,0.2,0.16,0.9,0,0.066,0,0,0,0,0.015,0,0.054,0.039,0.035,0.0050.022,0,0,0.025,0.016,0,0.041,4,3.1,0,0,0,0,0,0,0,0.1,0.024,0.002,0.044,0,0,0.47,0,0,94.52,,
 leaves,raw,Broccoli,100,28,0.4,0.1,0,27,0,71,0,0.638,0.535,0.119,0.065,16000,0,0,0,0,0,0,0,0.159,93.20.00,0,0,0,48,0.045,0.88,25,0.229,66,325,3,0.4,2.98,0.118,0.145,0.213,0.02,0.375,0.095,0.05,0,0.109,0.131,0.141,0.0340.084,0.114,0.1,0.091,0.029,0.063,0.128,5.06,2.3,1.48,0,0,0,0,0,0,0.35,0.054,0.024,0.167,0,0,0.92,0,0,90.69,,
,raw,Durian,100,147,5.3,,0,2,0,36,0,1.074,0.23,0.2,0.374,44,2,6,23,0,0,0,0,0.316,19.7,0,0,0,6,0.207,0.43,30,0.325,39,436,0,0.28,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09,3.8,0,0,0,0,0,0,0,5.33,0,0,0,0,0,1.12,0,0,64.99,,
 orange,raw,Tomatoes,100,16,0.2,,0,42,0,29,0,0.593,0.186,0.034,0.046,1496,75,0,0,0,0,0,0,0.06,16.00.00,0,0,0,5,0.062,0.47,8,0.088,29,212,0.4,0.14,1.16,0.033,0.029,0.161,0.015,0.427,0.029,0.018,0,0.027,0.042,0.042,0.0100.030,0.022,0.031,0.029,0.008,0.02,0.03,3.18,0.9,0,0,0,0,0,0,0,0.19,0.025,0.028,0.076,0,0,0.69,0,0,94.78,,
 yellow,raw,Tomatoes,100,15,0.3,,0,23,0,30,0,1.179,0.11,0.047,0.041,0,0,0,0,0,0,0,0,0.056,9.00.00,0,0,0,11,0.101,0.49,12,0.12,36,258,0.4,0.28,0.98,0.028,0.024,0.135,0.013,0.359,0.024,0.015,0,0.023,0.036,0.036,0.0080.025,0.018,0.026,0.024,0.007,0.017,0.025,2.98,0.7,0,0,0,0,0,0,0,0.26,0.036,0.04,0.108,0,0,0.5,0,0,95.28,,
 leaves,raw,Fireweed,100,103,2.8,,0,34,0,112,0,4.674,1.356,0.137,0.033,3598,180,0,0,0,0,0,0,0.632,2.20.00,0,0,0,429,0.32,2.4,156,6.704,108,494,0.9,2.66,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,10.6,0,0,0,0,0,0,0,2.75,0,0,0,0,0,2.54,0,0,70.78,,
 flat fillet,raw,Emu,100,102,0.7,0.2,71,150,0,12,0,6.786,2.484,0.414,0.245,0,0,0,0,0,0,0,6.12,0.582,0,0.22,0.22,0,3,0.205,5,31,0.028,229,240,31.5,3,22.25,0.865,1.001,1.936,0.161,2.172,0.7,0.487,0.146,0.723,1.228,1.309,0.4220.635,0.902,0.529,0.638,0.147,0.475,0.741,0,0,0,0,0,0,0,0,0,0.74,0.187,0.295,0.102,71,0,0.93,0,0,75.4,,
 inside drum,raw,Emu,100,108,1.5,0.4,67,102,0,12,0,7.304,2.674,0.446,0.42,17,5,0,0,0,0,0,2.26,0.626,0,0.22,0.22,0,4,0.205,5.23,26,0.028,229,318,31.4,4.33,22.22,0.864,1,1.933,0.16,2.169,0.699,0.486,0.145,0.722,1.226,1.307,0.4210.634,0.9,0.528,0.637,0.147,0.474,0.74,0,0,0,0,0,0,0,0,0,1.49,0.386,0.532,0.256,67,0,1.15,0,0,74.73,,
 horse,raw,Game meat,100,133,4.6,1.4,52,53,0,0,0,4.6,0,0.1,0.13,0,0,0,0,0,0,0,3,0.38,1,0,0,0,6,0.144,3.82,24,0.019,221,360,10.1,2.9,21.39,1.228,1.401,2.104,0.299,3.116,1.033,0.822,0,1.014,1.696,1.823,0.4730.879,0.994,0.817,0.959,0.265,0.67,1.108,0,0,0,0,0,0,0,0,0,4.6,1.44,1.61,0.65,52,0,0.99,0,0,72.63,,
 stalks,raw,Broccoli,100,28,0.4,0.1,0,27,0,71,0,0.638,0.535,0.119,0.065,400,20,0,0,0,0,0,0,0.159,93.20.00,0,0,0,48,0.045,0.88,25,0.229,66,325,3,0.4,2.98,0.118,0.145,0.213,0.02,0.375,0.095,0.05,0,0.109,0.131,0.141,0.0340.084,0.114,0.1,0.091,0.029,0.063,0.128,5.24,0,0,0,0,0,0,0,0,0.35,0.054,0.024,0.167,0,0,0.92,0,0,90.69,,
 enoki,raw,Mushrooms,100,37,0.3,,0,3,47.7,48,0,7.032,1.35,0.2,0.225,0,0,0,0,0,0,0,0,0.1,0.05.00,0.01,0.01,0,0,0.107,1.15,16,0.075,105,359,2.2,0.65,2.66,0.19,0.11,0.19,0.02,0.38,0.11,0.07,0,0.09,0.13,0.13,0.0300.150,0.06,0.09,0.11,0.04,0.14,0.23,7.81,2.7,0.22,0,0,0.22,0,0,0,0.29,0.02,0,0.09,0,0,0.91,0,0,88.34,,
 spanish,raw,Peanuts,100,570,50,7.1,0,22,0,240,0,15.925,1.769,0.135,0.675,0,0,0,0,0,0,0,0,0.348,0.00.00,0,0,0,106,0.9,3.91,188,2.64,388,744,7.2,2.12,26.15,1.039,3.128,3.19,0.335,5.465,1.576,0.661,0,0.92,1.696,0.939,0.3211.356,1.154,1.289,0.896,0.254,1.063,1.097,15.83,9.5,0,0,0,0,0,0,0,49.6,7.098,22.325,17.238,0,0,2.03,0,0,6.39,,
 moose,raw,Game meat,100,102,0.7,0.2,59,65,0,0,0,5,0,0.27,0.06,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0.067,3.21,23,0.008,158,317,9.6,2.8,22.24,1.281,1.438,2.089,0,3.602,0.972,0.747,0,1.068,1.957,2.018,0.5690.961,0.904,0.797,1.021,0,0.819,1.21,0,0,0,0,0,0,0,0,0,0.74,0.22,0.15,0.24,59,0,1.13,0,0,75.55,,
 butterfish,raw,Fish,100,146,8,3.4,65,89,0,15,0,4.5,0.75,0.15,0.12,100,30,0,0,0,0,0,1.9,0.3,0,0,0,0,22,0.054,0.5,25,0.015,240,375,36.5,0.77,17.28,1.045,1.034,1.77,0.185,2.58,0.83,0.509,0,0.796,1.405,1.587,0.5120.675,0.611,0.705,0.758,0.194,0.583,0.89,0,0,0,0,0,0,0,0,0,8.02,3.38,3.38,0.59,65,0,1.2,0,0,74.13,,
 serrano,raw,Peppers,100,32,0.4,0.1,0,10,8.9,23,0,1.537,0.2,0.081,0.054,937,47,18,534,40,544,0,0,0.505,44.90.00,0.69,0.69,11.8,11,0.129,0.86,22,0.187,40,305,0.4,0.26,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,3.7,3.83,0,0,0,0,0,0,0.44,0.059,0.023,0.222,0,0,0.87,0,0,90.25,,
,raw,Yambean (jicama),100,38,0.1,,0,4,13.6,12,0,0.2,0.135,0.029,0.02,21,1,0,13,0,0,0,0,0.042,20.20.00,0.46,0.46,0.3,12,0.048,0.6,12,0.06,18,150,0.7,0.16,0.72,0.02,0.037,0.2,0.006,0.043,0.016,0.019,0,0.016,0.025,0.026,0.0070.017,0.025,0.025,0.018,0,0.012,0.022,8.82,4.9,1.8,0,0,0,0,0,0,0.09,0.021,0.005,0.043,0,0,0.3,0,0,90.07,,
reen,raw,Kiwifruit,100,61,0.5,,0,3,7.8,25,0,0.341,0.183,0.025,0.027,87,4,0,52,0,122,0,0,0.063,92.70.00,1.46,1.46,40.3,34,0.13,0.31,17,0.098,34,312,0.2,0.14,1.14,0.053,0.081,0.126,0.031,0.184,0.06,0.027,0,0.051,0.066,0.061,0.0240.044,0.044,0.053,0.047,0.015,0.034,0.057,14.66,3,8.99,4.35,0.17,4.11,0,0.19,0.15,0.52,0.029,0.047,0.287,0,0,0.61,0,0,83.07,,
,raw,Drumstick leaves,100,64,1.4,,0,9,0,40,0,2.22,0.125,0.66,0.257,7564,378,0,0,0,0,0,0,1.2,51.70.00,0,0,0,185,0.105,4,42,1.063,112,337,0.9,0.6,9.4,0.705,0.532,0.92,0.14,1.035,0.517,0.196,0,0.451,0.791,0.537,0.1230.487,0.451,0.414,0.411,0.144,0.347,0.611,8.28,2,0,0,0,0,0,0,0,1.4,0,0,0,0,0,2.26,0,0,78.66,,
,raw,Yautia (tannier),100,98,0.4,0.1,0,21,0,17,0,0.667,0.209,0.04,0.097,8,0,0,5,0,0,0,0,0.237,5.20.00,0,0,0,9,0.257,0.98,24,0.186,51,598,0.7,0.5,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.63,1.5,0,0,0,0,0,0,0,0.4,0.082,0,0,0,0,1.45,0,0,73.06,,
 peeled,raw,Cucumber,100,12,0.2,,0,2,5.7,14,0,0.037,0.24,0.025,0.031,72,4,8,31,18,16,0,0,0.051,3.20.00,0.03,0.03,7.2,14,0.071,0.22,12,0.073,21,136,0.1,0.17,0.59,0.031,0.031,0.037,0.007,0.204,0.025,0.002,0,0.012,0.025,0.025,0.0120.031,0.012,0.025,0.012,0.007,0.002,0.012,2.16,0.7,1.38,0.75,0,0.63,0,0,0,0.16,0.013,0.002,0.003,0,0,0.36,0,0,96.73,,
,raw,Dandelionreens,100,45,0.7,0.2,0,76,35.3,27,0,0.806,0.084,0.26,0.19,10161,508,363,5854,121,13610,0,0,0.251,35.00.00,3.44,3.44,778.4,187,0.171,3.1,36,0.342,66,397,0.5,0.41,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3.5,0.71,0,0,0,0,0,0,0.7,0.17,0.014,0.306,0,0,1.8,0,0,85.6,,
 honeydew,raw,Melons,100,36,0.1,,0,18,7.6,19,0,0.418,0.155,0.012,0.038,50,3,0,30,0,27,0,0,0.088,18.00.00,0.02,0.02,2.9,6,0.024,0.17,10,0.027,11,228,0.7,0.09,0.54,0.044,0.014,0.088,0.005,0.153,0.016,0.005,0,0.013,0.016,0.018,0.0050.015,0.012,0.023,0.013,0.005,0.01,0.018,9.09,0.8,8.12,2.96,0,2.68,0,0,2.48,0.14,0.038,0.003,0.059,0,0,0.41,0,0,89.82,,
 white,raw,Mushrooms,100,22,0.3,0.1,0,5,17.3,17,0,3.607,1.497,0.402,0.081,0,0,0,0,0,0,0,0.04,0.104,2.17.00,0.01,0.01,0,3,0.318,0.5,9,0.047,86,318,9.3,0.52,3.09,0.199,0.078,0.195,0.012,0.343,0.092,0.057,0,0.076,0.12,0.107,0.0310.085,0.076,0.094,0.107,0.035,0.044,0.232,3.26,1,1.98,0.17,0,1.48,0,0,0,0.34,0.05,0,0.16,0,0,0.85,0,0,92.45,,
 morel,raw,Mushrooms,100,31,0.6,0.1,0,21,0,9,0,2.252,0.44,0.205,0.069,0,0,0,0,0,0,0,0,0.136,206,0,0,0,43,0.625,12.18,19,0.587,194,411,2.2,2.03,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.8,0.6,0,0,0.6,0,0,0,0.57,0.065,0.052,0.433,0,0,1.58,0,0,89.61,,
,raw,Fiddlehead ferns,100,34,0.4,,0,1,0,0,0,4.98,0,0.21,0.02,3617,181,261,2040,0,0,0,0,0,26.60.00,0,0,0,32,0.32,1.31,34,0.51,101,370,0,0.83,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.83,0,0,88.68,,
reen,raw,Tomatoes,100,23,0.2,,0,13,8.6,9,0,0.5,0.5,0.04,0.06,642,32,78,346,0,0,0,0,0.081,23.40.00,0.38,0.38,10.1,13,0.09,0.51,10,0.1,28,204,0.4,0.07,1.2,0.034,0.029,0.166,0.016,0.442,0.03,0.018,0,0.029,0.044,0.044,0.0100.031,0.023,0.032,0.03,0.009,0.021,0.031,5.1,1.1,4,0,0,0,0,0,0,0.2,0.028,0.03,0.081,0,0,0.5,0,0,93,,
 snail,raw,Mollusks,100,90,1.4,0.4,50,70,65,6,0,1.4,0,0.12,0.01,100,30,0,0,0,0,0,0.5,0.13,0.00.00,5,5,0.1,10,0.4,3.5,250,0,272,382,27.4,1,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.4,0.361,0.259,0.252,50,0,1.3,0,0,79.2,,
